Car Name,Car Price,Car Link
Toyota Corolla Clean Title,"$8,900 ",https://newyork.craigslist.org/brk/ctd/d/ridgewood-2011-toyota-camry-xle-v6-4dr/7653192239.html
"2013 Toyota Corolla le , 92,000 miles , clean title,1owner,only  $7499","$7,499 ",https://newyork.craigslist.org/que/ctd/d/woodside-2014-toyota-prius-hybrid-back/7652022119.html
2009 Toyota Corolla LE,"$8,750 ",https://newyork.craigslist.org/que/cto/d/queens-village-2023-toyota-corolla/7644296733.html
Toyota Corolla 2006. Needs some TLC,"$3,500 ",https://newyork.craigslist.org/brk/cto/d/brooklyn-2016-toyota-camry-hybrid-mint/7650911532.html
2017 Toyota Corolla LE for sale,"$9,450 ",https://newyork.craigslist.org/brk/ctd/d/ridgewood-2007-toyota-prius-base-4dr/7650663460.html
2005 Toyota Corolla,"$2,000 ",https://newyork.craigslist.org/que/ctd/d/woodside-2014-toyota-prius-hybrid-back/7649446990.html
2010 Toyota Corolla,"$7,000 ",https://newyork.craigslist.org/brx/ctd/d/bronx-2005-toyota-corolla/7643155781.html
2004 Toyota Corolla LE 4dr Sedan,"$4,200 ",https://newyork.craigslist.org/lgi/ctd/d/ridgewood-2016-jeep-compass-high/7653240629.html
2015 Toyota Corolla LE V4 runs & drives new,"$6,200 ",https://newyork.craigslist.org/brk/ctd/d/ridgewood-2012-honda-civic-ex-navi-4dr/7653226380.html
1999 Toyota Corolla LE,"$2,050 ",https://newyork.craigslist.org/lgi/ctd/d/ridgewood-2012-honda-odyssey-ex-4dr/7653181011.html
,,
